stno,yyyymmddhh,year,month,day,hour,PS01,PS02,TX01,RH01,WD01,WD02,PP01,SS01,SS02,CD11,altitude,longitude,latitude,start_time,number_of_hour,issue_time,APCP,DSWRF,HCDC,LCDC,MCDC,PRES,PRMSL,RH,TMP,UGRD,VGRD
001,2017100312,2017,10,3,12,647.5,3195.2,17.1,55,2.8,130.0,0.0,0.9,3.42,-9999,3844.8,120.9595,23.4876,2017-10-03 04:00:00 UTC,6612,2017-09-27 12:00:00 UTC,53.26666666666666,916.5777777777776,89.55555555555556,19.8,5.544444444444445,36602.40555555555,102323.44444444444,79.7,288.72,-0.16333333333333333,-1.4033333333333335
001,2017100313,2017,10,3,13,646.9,3190.3,14.8,62,2.8,130.0,0.0,0.7,3.25,-9999,3844.8,120.9595,23.4876,2017-10-03 05:00:00 UTC,6613,2017-09-27 12:00:00 UTC,53.26666666666666,909.8555555555556,47.444444444444436,21.388888888888886,9.422222222222222,36582.327777777784,102264.11111111114,78.46666666666667,288.86555555555555,-0.6911111111111111,-0.8955555555555555
001,2017100314,2017,10,3,14,646.5,3187.3,12.9,71,1.2,110.0,0.0,0.8,3.24,-9997,3844.8,120.9595,23.4876,2017-10-03 06:00:00 UTC,6614,2017-09-27 12:00:00 UTC,53.511111111111106,705.6666666666667,59.77777777777778,31.800000000000004,11.811111111111117,36545.19444444446,102174.33333333331,88.3,288.3588888888889,-0.7055555555555554,-1.3911111111111112
001,2017100315,2017,10,3,15,646.5,3188.5,11.9,76,1.6,150.0,0.0,0.1,1.05,-9999,3844.8,120.9595,23.4876,2017-10-03 07:00:00 UTC,6615,2017-09-27 12:00:00 UTC,53.65555555555557,432.8,89.0222222222222,42.15555555555555,19.188888888888886,36536.30555555556,102170.55555555556,92.15555555555555,287.8933333333334,-1.7477777777777777,-0.528888888888889
001,2017100316,2017,10,3,16,646.5,3190.0,10.9,79,1.1,140.0,0.0,0.0,0.67,-9999,3844.8,120.9595,23.4876,2017-10-03 08:00:00 UTC,6616,2017-09-27 12:00:00 UTC,54.34444444444446,241.91111111111115,79.33333333333333,43.77777777777778,21.5,36551.694444444445,102229.0,93.6,287.52444444444444,-0.22333333333333336,0.15222222222222226
001,2017100317,2017,10,3,17,646.8,3196.7,8.3,87,0.9,100.0,0.0,0.0,0.19,6,3844.8,120.9595,23.4876,2017-10-03 09:00:00 UTC,6617,2017-09-27 12:00:00 UTC,57.93333333333332,64.14444444444446,71.8888888888889,25.222222222222214,8.866666666666667,36579.05,102406.66666666669,95.73333333333332,285.8055555555556,-0.21333333333333326,1.7522222222222217
001,2017100318,2017,10,3,18,646.9,3198.8,6.9,81,2.4,90.0,0.0,0.2,0.09,-9999,3844.8,120.9595,23.4876,2017-10-03 10:00:00 UTC,6618,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,85.55555555555554,15.111111111111116,2.333333333333333,36613.05,102483.33333333334,87.05555555555556,284.14444444444445,-0.3944444444444445,-0.06333333333333338
001,2017100319,2017,10,3,19,647.2,3198.9,6.7,64,2.4,80.0,0.0,0.0,0.0,-9999,3844.8,120.9595,23.4876,2017-10-03 11:00:00 UTC,6619,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,90.11111111111107,2.333333333333333,0.0,36631.811111111136,102484.55555555556,80.2222222222222,284.0855555555555,-0.5444444444444445,-0.6944444444444445
001,2017100320,2017,10,3,20,647.4,3199.0,6.5,68,8.3,100.0,0.0,-9999.0,0.0,1,3844.8,120.9595,23.4876,2017-10-03 12:00:00 UTC,6620,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,64.1111111111111,2.0333333333333328,0.0,36615.08888888889,102423.55555555556,79.24444444444444,283.87333333333333,-1.6355555555555554,0.36555555555555547
001,2017100321,2017,10,3,21,648.2,3206.3,6.3,78,4.7,90.0,0.0,-9999.0,0.0,1,3844.8,120.9595,23.4876,2017-10-03 13:00:00 UTC,6621,2017-09-27 12:00:00 UTC,57.96666666666666,0.0,80.88888888888887,0.06666666666666668,0.0,36636.08888888889,102472.88888888886,74.57777777777778,283.97222222222223,-1.0577777777777777,1.6544444444444444
